Batch_Num,BatchSize,N_Train_Ims,Loss
0,64,1683,52.990276
50,64,1683,0.438090
100,64,1683,0.408153
150,64,1683,0.547680
200,64,1683,0.526160
250,64,1683,0.469370
300,64,1683,0.384211
350,64,1683,0.423876
400,64,1683,0.319300
450,64,1683,0.448610
500,64,1683,0.305055
550,64,1683,0.307070
600,64,1683,0.221590
650,64,1683,0.321222
700,64,1683,0.229468
750,64,1683,0.377026
800,64,1683,0.300911
850,64,1683,0.464609
900,64,1683,0.498325
950,64,1683,0.501484
1000,64,1683,0.746026
1050,64,1683,0.505068
1100,64,1683,0.418864
1150,64,1683,0.359848
1200,64,1683,0.540572
1250,64,1683,0.473842
1300,64,1683,0.318362
1350,64,1683,0.566492
1400,64,1683,0.423954
1450,64,1683,0.337402
1500,64,1683,0.546861
1550,64,1683,0.528628
1600,64,1683,0.474108
1650,64,1683,0.659704
1700,64,1683,0.492581
1750,64,1683,0.540512
1800,64,1683,0.585250
1850,64,1683,0.502640
1900,64,1683,0.696156
1950,64,1683,0.536781
2000,64,1683,0.493770
2050,64,1683,0.485973
2100,64,1683,0.547528
2150,64,1683,0.476671
2200,64,1683,0.407543
2250,64,1683,0.571784
2300,64,1683,0.581106
2350,64,1683,0.513199
2400,64,1683,0.571343
2450,64,1683,0.469798
2500,64,1683,0.510943
2550,64,1683,0.467697
2600,64,1683,0.443910
2650,64,1683,0.598943
2700,64,1683,0.673735
2750,64,1683,0.468530
2800,64,1683,0.414853
2850,64,1683,0.400736
2900,64,1683,0.402045
2950,64,1683,0.533475
3000,64,1683,0.576706
3050,64,1683,0.477489
3100,64,1683,0.458893
3150,64,1683,0.634453
3200,64,1683,0.524677
3250,64,1683,0.631474
3300,64,1683,0.404557
3350,64,1683,0.513011
3400,64,1683,0.530444
3450,64,1683,0.447055
3500,64,1683,0.495994
3550,64,1683,0.479705
3600,64,1683,0.543393
3650,64,1683,0.475480
3700,64,1683,0.507945
3750,64,1683,0.527369
3800,64,1683,0.475957
3850,64,1683,0.467225
3900,64,1683,0.387635
3950,64,1683,0.550580
4000,64,1683,0.436702
4050,64,1683,0.473020
4100,64,1683,0.385200
4150,64,1683,0.458249
4200,64,1683,0.534065
4250,64,1683,0.447462
4300,64,1683,0.533995
4350,64,1683,0.433828
4400,64,1683,0.471936
4450,64,1683,0.417418
4500,64,1683,0.432368
4550,64,1683,0.562224
4600,64,1683,0.542135
4650,64,1683,0.374199
4700,64,1683,0.618837
4750,64,1683,0.536520
4800,64,1683,0.461301
4850,64,1683,0.486039
4900,64,1683,0.484621
4950,64,1683,0.345904
5000,64,1683,0.425473
5050,64,1683,0.354595
5100,64,1683,0.355425
5150,64,1683,0.468553
5200,64,1683,0.370596
5250,64,1683,0.394509
5300,64,1683,0.410580
5350,64,1683,0.538002
5400,64,1683,0.507515
5450,64,1683,0.419178
5500,64,1683,0.495832
5550,64,1683,0.503688
5600,64,1683,0.489196
5650,64,1683,0.513214
5700,64,1683,0.435332
5750,64,1683,0.480822
5800,64,1683,0.468917
5850,64,1683,0.544375
5900,64,1683,0.530374
5950,64,1683,0.492952
6000,64,1683,0.414563
6050,64,1683,0.490884
6100,64,1683,0.434763
6150,64,1683,0.489394
6200,64,1683,0.435025
6250,64,1683,0.336393
6300,64,1683,0.475343
6350,64,1683,0.427820
6400,64,1683,0.484492
6450,64,1683,0.339770
6500,64,1683,0.409362
6550,64,1683,0.461308
6600,64,1683,0.541348
6650,64,1683,0.551591
6700,64,1683,0.458645
6750,64,1683,0.571965
6800,64,1683,0.384372
6850,64,1683,0.382464
6900,64,1683,0.470451
6950,64,1683,0.413368
7000,64,1683,0.392557
7050,64,1683,0.670414
7100,64,1683,0.374837
7150,64,1683,0.509330
7200,64,1683,0.451434
7250,64,1683,0.454595
7300,64,1683,0.343514
7350,64,1683,0.520442
7400,64,1683,0.409425
7450,64,1683,0.479060
7500,64,1683,0.500652
7550,64,1683,0.364032
7600,64,1683,0.386334
7650,64,1683,0.380052
7700,64,1683,0.497006
7750,64,1683,0.529192
7800,64,1683,0.366521
7850,64,1683,0.322859
7900,64,1683,0.451738
7950,64,1683,0.467121
8000,64,1683,0.401275
8050,64,1683,0.502181
8100,64,1683,0.346832
8150,64,1683,0.496322
8200,64,1683,0.484605
8250,64,1683,0.536179
8300,64,1683,0.320268
8350,64,1683,0.424664
8400,64,1683,0.428236
8450,64,1683,0.514251
8500,64,1683,0.364043
8550,64,1683,0.520604
8600,64,1683,0.407974
8650,64,1683,0.479146
8700,64,1683,0.419165
8750,64,1683,0.402250
8800,64,1683,0.501010
8850,64,1683,0.464272
8900,64,1683,0.343612
8950,64,1683,0.460752
9000,64,1683,0.376125
9050,64,1683,0.324003
9100,64,1683,0.581463
9150,64,1683,0.431692
9200,64,1683,0.451853
9250,64,1683,0.444499
9300,64,1683,0.364134
9350,64,1683,0.390923
9400,64,1683,0.352030
9450,64,1683,0.476962
9500,64,1683,0.384925
9550,64,1683,0.436410
9600,64,1683,0.404642
9650,64,1683,0.356979
9700,64,1683,0.383726
9750,64,1683,0.575438
9800,64,1683,0.380112
9850,64,1683,0.500932
9900,64,1683,0.461322
9950,64,1683,0.397684
